id,title,release_date
Metro-Boomin/Creepin%27,Creepin’,2022-12-02
Coi-Leray/Players,Players,2023-12-19
The-Weeknd/Out-of-Time,Out of Time,2022-01-07
Beyonc%C3%A9/BREAK-MY-SOUL,BREAK MY SOUL,2023-05-30
JID/Surround-Sound,Surround Sound,2022-08-26
Drake/Jimmy-Cooks,Jimmy Cooks,2022-06-17
Central-Cee/Doja,Doja,2022-12-16
Drake/Rich-Flex,Rich Flex,2022-11-04
Benny-the-Butcher/Johnny-P%27s-Caddy,Johnny P's Caddy,2022-01-28
James-Hype/Ferrari,Ferrari,2022-03-15
Young-Thug/Some-More,Some More,2013-11-26
Busta-Rhymes/LUXURY-LIFE,LUXURY LIFE,2023-09-07
Tomoko-Aran/Midnight-Pretenders,Midnight Pretenders,
Grandmaster-Flash/The-Message,The Message II (Survival),1994
DJs-From-Mars/Best-of-2023-Megamashup,Best of 2023 Megamashup,
Coast-80/Out-of-Time,Out of Time,
Jordi-Rivera/Out-of-Time-(Jordi-Rivera-Remix),Out of Time (Jordi Rivera Remix),
Big-Freedia/Explode,Explode,2014-06-17
Aretha-Franklin/One-Step-Ahead,One Step Ahead,2008
Robin-S./Show-Me-Love-(Stonebridge-Mix),Show Me Love (Stonebridge mix),1997-06-30
Playa-Fly/Just-Awaken-Shaken,Just Awaken Shaken,1999
DJ-Earworm/United-State-of-Pop-2023-(Cut-the-Flowers),United State of Pop 2023 (Cut the Flowers),2024-01-05
Girl-Talk/Break-My-Soul-(Girl-Talk-Remix),Break My Soul (Girl Talk Remix),
Brook-Benton/You-Were-Gone,You Were Gone,1984
La-Hasba22/New-Balance,New Balance,
Eve/Let-Me-Blow-Ya-Mind,Let Me Blow Ya Mind,2013-08-30
DJ-Earworm/United-State-of-Pop-2022-(I-Want-Music),United State of Pop 2022 (I Want Music),2022-12-15
Ghais-Guevara/Who-Let-Jimmy-Cook%3F!,Who Let Jimmy Cook?!,2023-02-24
DJ-Purpberry/Jimmy-Cooks-(Chopped-and-Screwed),Jimmy Cooks (Chopped and Screwed),
