song_id,genre
Future/Like-That,hip hop
Kendrick-Lamar/Not-Like-Us,alternative hip hop
Kendrick-Lamar/Not-Like-Us,conscious hip hop
Kendrick-Lamar/Not-Like-Us,hip hop
Kendrick-Lamar/Not-Like-Us,hardcore hip hop
Kendrick-Lamar/Tv-Off,alternative hip hop
Kendrick-Lamar/Tv-Off,conscious hip hop
Kendrick-Lamar/Tv-Off,hip hop
Kendrick-Lamar/Tv-Off,hardcore hip hop
Kendrick-Lamar/Reincarnated,alternative hip hop
Kendrick-Lamar/Reincarnated,conscious hip hop
Kendrick-Lamar/Reincarnated,hip hop
Kendrick-Lamar/Reincarnated,hardcore hip hop
Kendrick-Lamar/Squabble-Up,alternative hip hop
Kendrick-Lamar/Squabble-Up,conscious hip hop
Kendrick-Lamar/Squabble-Up,hip hop
Kendrick-Lamar/Squabble-Up,hardcore hip hop
21-Savage/Redrum,gangsta rap
21-Savage/Redrum,mumble rap
21-Savage/Redrum,hip hop
21-Savage/Redrum,pop rap
"Tyler,-the-Creator/Balloon",hip hop
"Tyler,-the-Creator/Balloon",horrorcore
"Tyler,-the-Creator/Balloon",_fix whosampled dupe url
"Tyler,-the-Creator/Balloon",hardcore hip hop
Kendrick-Lamar/Meet-the-Grahams,hip hop
JPEGMAFIA/Either-on-or-Off-the-Drugs,drumless hip hop
%C2%A5$/CARNIVAL,english
%C2%A5$/CARNIVAL,plugg
%C2%A5$/CARNIVAL,hip house
%C2%A5$/CARNIVAL,trap
%C2%A5$/CARNIVAL,hip hop
%C2%A5$/CARNIVAL,cloud rap
%C2%A5$/CARNIVAL,r&b
%C2%A5$/CARNIVAL,southern hip hop
%C2%A5$/CARNIVAL,alternative r&b
%C2%A5$/CARNIVAL,conscious hip hop
%C2%A5$/CARNIVAL,electropop
%C2%A5$/CARNIVAL,chipmunk soul
%C2%A5$/CARNIVAL,christian hip hop
Eazy-E/Eazy-Duz-It,g-funk
Eazy-E/Eazy-Duz-It,hip hop
Eazy-E/Eazy-Duz-It,west coast rap
Eazy-E/Eazy-Duz-It,rap
Eazy-E/Eazy-Duz-It,dirty rap
Eazy-E/Eazy-Duz-It,gangsta rap
Eazy-E/Eazy-Duz-It,hardcore rap
Rodney-O-and-Joe-Cooley/Everlasting-Bass,hip hop
Birdman/Pop-Bottles,2000s
Birdman/Pop-Bottles,hip hop
Birdman/Pop-Bottles,criminal
Birdman/Pop-Bottles,2010s
Birdman/Pop-Bottles,rap
Birdman/Pop-Bottles,gangsta rap
Monk-Higgins/I-Believe-to-My-Soul,jazz
Monk-Higgins/I-Believe-to-My-Soul,2008 universal fire victim
YG/I%27m-Good,hip hop
YG/I%27m-Good,ratchet music
YG/I%27m-Good,west coast hip hop
YG/I%27m-Good,drake
2Pac/Made-Niggas,death by murder
2Pac/Made-Niggas,g-funk
2Pac/Made-Niggas,hip hop
2Pac/Made-Niggas,90s
2Pac/Made-Niggas,gangsta rap
2Pac/Made-Niggas,conscious hip hop
Debbie-Deb/When-I-Hear-Music,breaks
Debbie-Deb/When-I-Hear-Music,dance
Debbie-Deb/When-I-Hear-Music,hip hop
Debbie-Deb/When-I-Hear-Music,rap and hip-hop
Debbie-Deb/When-I-Hear-Music,electro
Debbie-Deb/When-I-Hear-Music,freestyle
Debbie-Deb/When-I-Hear-Music,electronic
21-Savage/A-Lot,gangsta rap
21-Savage/A-Lot,mumble rap
21-Savage/A-Lot,hip hop
21-Savage/A-Lot,pop rap
Monk-Higgins/Mac-Arthur-Park,jazz
Monk-Higgins/Mac-Arthur-Park,2008 universal fire victim
Luke/I-Wanna-Rock,hip hop
Luke/I-Wanna-Rock,hip-hop
Luke/I-Wanna-Rock,dirty rap
Luke/I-Wanna-Rock,american
The-Notorious-B.I.G./Kick-in-the-Door,stage & screen
The-Notorious-B.I.G./Kick-in-the-Door,hip hop
The-Notorious-B.I.G./Kick-in-the-Door,east coast rap
The-Notorious-B.I.G./Kick-in-the-Door,east coast hip hop
The-Notorious-B.I.G./Kick-in-the-Door,rap
The-Notorious-B.I.G./Kick-in-the-Door,soundtracks
The-Notorious-B.I.G./Kick-in-the-Door,gangsta rap
The-Notorious-B.I.G./Kick-in-the-Door,hardcore rap
Kanye-West/Hell-of-a-Life,rap
Jadakiss/Put-Ya-Hands-Up,hip hop
Jadakiss/Put-Ya-Hands-Up,east coast hip hop
Playboi-Carti/BACKR00MS,english
Playboi-Carti/BACKR00MS,plugg
Playboi-Carti/BACKR00MS,cloud rap
Playboi-Carti/BACKR00MS,hip hop
Playboi-Carti/BACKR00MS,experimental hip hop
Playboi-Carti/BACKR00MS,pop rap
Lil-Jon/Who-U-Wit%3F,party rap
Lil-Jon/Who-U-Wit%3F,dirty south
Lil-Jon/Who-U-Wit%3F,rap
Barry-White/I%27m-Gonna-Love-You-Just-a-Little-More-Baby,70s
Barry-White/I%27m-Gonna-Love-You-Just-a-Little-More-Baby,easy listening
Barry-White/I%27m-Gonna-Love-You-Just-a-Little-More-Baby,disco
Barry-White/I%27m-Gonna-Love-You-Just-a-Little-More-Baby,2008 universal fire victim
Ludwig-Van-Beethoven/Symphony-No.-9%3A-Ode-to-Joy,classical
Ludwig-Van-Beethoven/Symphony-No.-9%3A-Ode-to-Joy,european
Ludwig-Van-Beethoven/Symphony-No.-9%3A-Ode-to-Joy,composer
Ludwig-Van-Beethoven/Symphony-No.-9%3A-Ode-to-Joy,classical period
Sly-%26-the-Family-Stone/Sing-a-Simple-Song,r&b/soul
The-Temptations/Ball-of-Confusion-(That%27s-What-the-World-Is-Today),funk
The-Temptations/Ball-of-Confusion-(That%27s-What-the-World-Is-Today),motown
The-Temptations/Ball-of-Confusion-(That%27s-What-the-World-Is-Today),contemporary r&b
The-Temptations/Ball-of-Confusion-(That%27s-What-the-World-Is-Today),pop
Detroit-Emeralds/Baby-Let-Me-Take-You-(In-My-Arms),classic pop and rock
"Beastie-Boys/Hold-It-Now,-Hit-It",alternative hip hop
"Beastie-Boys/Hold-It-Now,-Hit-It",experimental hip hop
"Beastie-Boys/Hold-It-Now,-Hit-It",alternative rock
"Beastie-Boys/Hold-It-Now,-Hit-It",east coast hip hop
The-Honey-Drippers/Impeach-the-President,funk
The-Honey-Drippers/Impeach-the-President,sample
The-Honey-Drippers/Impeach-the-President,soul
The-Honey-Drippers/Impeach-the-President,break
Black-Sabbath/Iron-Man,hard rock
Black-Sabbath/Iron-Man,doom metal
Black-Sabbath/Iron-Man,british
Black-Sabbath/Iron-Man,classic rock
The-Mojo-Men/She%27s-My-Baby,garage rock
The-Mojo-Men/She%27s-My-Baby,rock
The-Mojo-Men/She%27s-My-Baby,psychedelic rock
Funkadelic/Get-Off-Your-Ass-and-Jam,funk
Funkadelic/Get-Off-Your-Ass-and-Jam,soul
Funkadelic/Get-Off-Your-Ass-and-Jam,r&b
