artist_name,wikipedia_summary
Future,"Nayvadius DeMun Cash (né Wilburn; born November 20, 1983), known professionally as Future, is an American rapper, singer-songwriter, and record producer. Known for his mumble-styled vocals and prolific output, Future is credited with having pioneered the use of Auto-Tuned melodies in hip-hop and trap music. Due to the sustained popularity of this musical style, he is commonly regarded as one of the most influential rappers of his generation.
Born and raised in Atlanta, Georgia, Future signed a recording contract with Rocko's A1 Recordings in 2011, which entered a joint venture with Epic Records shortly after. His first two studio albums, Pluto (2012) and Honest (2014), were both met with critical and commercial success, spawning the platinum-certified singles ""Turn On the Lights"", ""Honest"", ""Move That Dope"" (featuring Pharrell Williams and Pusha T), and ""I Won"" (featuring Kanye West). His subsequent albums have each debuted atop the US 200; his third and fourth, (2015) and (2016), were supported by the singles ""Where Ya At"" (featuring Drake) and ""Low Life"" (featuring the Weeknd), respectively. Future's eponymous fifth album and its follow-up, (both 2017) made him the first musical act to release two chart-topping projects on the 200 in consecutive weeks—the former spawned his first Hot 100-top ten single, ""Mask Off."""
Metro Boomin,"Leland Tyler Wayne (born September 16, 1993), known professionally as Metro Boomin, is an American record producer and music executive. Widely acclaimed for his dark and cinematic production style, he is regarded as one of the most influential producers in modern hip-hop and trap music. He has produced notable hits for artists such as Future, Post Malone, 21 Savage, Offset, Migos, Kanye West, The Weeknd, Gunna, Gucci Mane, Young Thug, Kodak Black, Drake, and Kendrick Lamar.
Raised in St. Louis, Missouri, Wayne began his career in music production in 2009 at the age of 16. He relocated to Atlanta to attend Morehouse College in 2011, during which he worked extensively with Atlanta-based artists including Future, Young Thug, 21 Savage, Gucci Mane, and Migos. Wayne gained wider recognition for co-producing the 2014 single ""Tuesday"" for iLoveMakonnen, which peaked at number 12 on the Hot 100. He was credited on a string of similarly successful singles throughout 2016, including ""Jumpman"" by Drake and Future, ""Father Stretch My Hands"" by Kanye West, ""Low Life"" by Future, and his first number-one production, ""Bad and Boujee"" by Migos. This was followed by the diamond-certified (14x platinum) ""Congratulations"" by Post Malone, ""Tunnel Vision"" by Kodak Black, ""Mask Off"" by Future, ""Bank Account"" by 21 Savage, and his second number-one production, ""Heartless"" by the Weeknd."
Kendrick Lamar,"Kendrick Lamar Duckworth (born June 17, 1987) is an American rapper. Regarded as one of the greatest rappers of all time, he was awarded the 2018 Pulitzer Prize for Music, becoming the first musician outside of the classical and jazz genres to receive the honor.
Born in Compton, California, Lamar began releasing music under the stage name K.Dot while attending high school. He signed with Top Dawg Entertainment (TDE) in 2005, and co-founded the hip hop supergroup Black Hippy there. Following the 2011 release of his alternative rap debut album Section.80, Lamar secured a joint contract with Dr. Dre's Aftermath Entertainment and Interscope Records. He rose to prominence with his gangsta rap-influenced second album Good Kid, M.A.A.D City (2012), which became the longest-charting hip hop studio album in Billboard 200 history; named it the greatest concept album of all time. In 2015, Lamar scored his first Hot 100 number-one single, after featuring on the remix of Taylor Swift's ""Bad Blood"", and released his third album, , which infused hip-hop with historical African-American music genres such as jazz, funk, and soul, and became his first of six consecutive number-one albums on the Billboard 200 chart."
Lefty Gunplay,"Franklin Scott Holladay, better known by his stage name Lefty Gunplay, is an American rapper from Los Angeles. Born and raised in Baldwin Park, Holladay is signed to JasonMartin's label Diamond Lane Music Group, as well as OTR Records as of 2024 and has released four albums, including Rookie of the Year and Most Valuable Gangbanger. He gained recognition for his feature on Kendrick Lamar's GNX single ""TV Off""."
21 Savage,"Shéyaa Bin Abraham-Joseph (born October 22, 1992), known professionally as 21 Savage, is an American and British rapper. Born in London and raised in Atlanta, he began his recording career in 2013 and released three independent mixtapes to regional acclaim. His breakout project—the collaborative extended play (EP) with record producer Metro Boomin titled Savage Mode (2016)—peaked at number 23 on the Billboard 200. Its lead singles, ""X"" (featuring Future) and ""No Heart"" both peaked within the top 40 of the Billboard Hot 100. Later that year, he saw further recognition for his guest appearance on Drake's single ""Sneakin'"". He then signed a recording contract with Epic Records in January 2017.
21 Savage's debut studio album, Issa Album (2017), peaked at number two on the Billboard 200, while its lead single, ""Bank Account"" peaked at number 12 on the Hot 100. That same year, he released the collaborative album (2017) with Metro Boomin and fellow Georgia-based rapper Offset, and guest appeared on Post Malone's 2017 single ""Rockstar"", which peaked atop the Hot 100 and received two nominations—Record of the Year and Best Rap/Sung Performance—at the 61st Annual Grammy Awards. His second album, (2018), became his first to debut atop the 200 and spawned the single ""A Lot"" (featuring J. Cole), which won Best Rap Song at the 62nd Annual Grammy Awards. The following year, he and Metro Boomin released a sequel to their breakout EP with (2020), which also debuted atop the 200 and spawned the top ten-singles ""Runnin"" and ""Mr. Right Now"" (featuring Drake). He guest appeared on Drake's 2022 single ""Jimmy Cooks"", which marked his first song to debut atop the Hot 100 and second to do so overall. Later that year, he and Drake released the collaborative album (2022), which saw continued success as his third project to peak the 200. His third album, (2024), became his fourth consecutive chart-topping project, and spawned the Hot 100 top-ten songs ""Redrum"" and ""Née-Nah""."
"Tyler, The Creator","Tyler Gregory Okonma (born March 6, 1991), known professionally as Tyler, the Creator, is an American rapper, singer, songwriter, and record producer. He has been cited as an influential figure in alternative hip-hop during the 2010s. Okonma became well known in the late 2000s, when he emerged on the internet as the leader and co-founder of the music collective Odd Future. Within the group, Okonma participated as a rapper, producer, director and actor, releasing studio albums that he produced for its respective members. Okonma also performed on the group's sketch comedy show Loiter Squad (2012–2014).
Along with his collaborations with the group, Okonma developed his solo career beginning with his self-released debut studio album, Bastard (2009). earned him recognition in the online music press as an emerging artist from the indie music scene. His second studio album, (2011), brought him mainstream media exposure, aided by the popularity of the single ""Yonkers"" and its accompanying music video. During this period, Okonma faced controversy in the media for his horrorcore-influenced sound and his violent, transgressive lyrical content."
Doechii,"Jaylah Ji'mya Hickmon (born August 14, 1998), known professionally as Doechii (), is an American rapper, singer, and songwriter. She first gained attention on TikTok, leading her to sign with Top Dawg Entertainment and Capitol Records in 2022. Her 2023 single ""What It Is (Block Boy)"", which features Kodak Black, became her first entry on the Billboard Hot 100 and received a platinum certification by the Recording Industry Association of America (RIAA).
Doechii's third mixtape, Alligator Bites Never Heal (2024), peaked at number 12 on the Billboard 200 and was met with critical acclaim. It won Best Rap Album at the 67th Annual Grammy Awards, making her the third female artist to win in the category. It spawned the singles ""Nissan Altima"" and ""Denial Is a River"". Her 2025 single ""Anxiety"" became her highest charting entry on the Hot 100."
JPEGMAFIA,"Barrington DeVaughn Hendricks (born October 22, 1989), known professionally as JPEGMafia (stylized in all caps as JPEGMAFIA), is an American rapper, singer, and record producer. Born in Flatbush, Brooklyn, he signed with Deathbomb Arc to release his debut studio album, Black Ben Carson (2016) and his second album Veteran (2018), which received widespread critical acclaim. His third album, All My Heroes Are Cornballs (2019) was released through EQT Recordings and entered the Billboard 200, and had signed to Republic for the release of his fourth album LP! (2021); both were met with continued critical acclaim. In 2023, he released his collaborative studio album Scaring the Hoes with fellow alternative rapper Danny Brown through AWAL. In 2024, he released his fifth studio album I Lay Down My Life for You."
¥$,"¥$ is an American hip hop superduo composed of rapper Kanye West and singer Ty Dolla Sign. With the two maintaining a strong relationship during 2023, West invited Ty Dolla Sign to record songs in Tokyo, Italy, and later Saudi Arabia. During the recording sessions for West's eleventh studio album, the duo began work on their collaborative effort, Vultures 1 (2024), which received mixed reviews from critics and was a commercial success that topped the US Billboard 200.
Vultures 1 spawned the single ""Carnival"" (with Rich the Kid featuring Playboi Carti), which peaked atop the US Billboard Hot 100. After several delays, the duo's second album, Vultures 2 (2024), was released in August of that year. It was met with weaker sales—peaking at number two on the 200—and negative reception from critics, who felt the album was exceedingly unfinished. They won Best Group at the BET Awards 2024."
Kanye West,"Ye ( YAY), born Kanye Omari West ( KAHN-yay; June 8, 1977), is an American rapper and record producer. One of the most prominent figures in hip-hop, he is known for his varying musical style and polarizing cultural and political commentary. After dropping out of college to pursue a career in music, West began producing for regional artists in the Chicago area. As an in-house producer for Roc-A-Fella Records, he co-produced albums including Jay-Z's The Blueprint (2001) before signing with the label as a recording artist. West's debut studio album, The College Dropout (2004), was met with critical acclaim and yielded the Billboard Hot 100-number one single ""Slow Jamz"". He peaked the chart on four other occasions with the singles ""Gold Digger"" (2005), ""Stronger"" (2007), ""E.T."" (2011, as a featured artist), and ""Carnival"" (2024)."
