"whosampled_id","mood_party","danceability_danceable","mood_relaxed","mood_sad","timbre_bright","tonal_atonal_atonal","cascade_size","temporal_influence"
"Future/Like-That","","","","","","","0","0.23293039287405307"
"Kendrick-Lamar/Not-Like-Us","","","","","","","",""
"Kendrick-Lamar/Tv-Off","","","","","","","0","0.38570513660714295"
"Kendrick-Lamar/Reincarnated","","","","","","","0","0.2775"
"Kendrick-Lamar/Squabble-Up","","","","","","","0","0.16416666666666668"
"21-Savage/Redrum","","","","","","","0","0.513375"
"Tyler,-the-Creator/Balloon","","","","","","","0","0.41900045827378435"
"Kendrick-Lamar/Meet-the-Grahams","","","","","","","",""
"JPEGMAFIA/Either-on-or-Off-the-Drugs","","","","","","","0","0.15000000000000002"
"%C2%A5$/CARNIVAL","","","","","","","0","0.20554513888888892"
"Eazy-E/Eazy-Duz-It","0.863922834396","0.998021841049","0.0636252015829","0.187360301614","0.228830724955","0.304643541574","55","0.3573373622589532"
"Rodney-O-and-Joe-Cooley/Everlasting-Bass","0.5","0.999997913837","0.827062785625","0.506181001663","0.757502257824","1.76130606633E-6","146","0.2709818698347108"
"Birdman/Pop-Bottles","0.946368575096","0.999997258186","0.517817854881","0.100288756192","0.307273179293","0.107928864658","11","0.31399687500000006"
"Monk-Higgins/I-Believe-to-My-Soul","","","","","","","4","0.15000000000000002"
"The-Sixth-Sense/I-See-Dead-People","","","","","","","",""
"YG/I%27m-Good","0.00143901747651","0.999999880791","0.71538156271","0.162320077419","0.0036094461102","8.72216854297E-10","39","0.15796875000000002"
"2Pac/Made-Niggas","","","","","","","1","0.15000000000000002"
"Debbie-Deb/When-I-Hear-Music","0.894910871983","0.994523286819","0.618793189526","0.117722339928","0.974169254303","0.0612928085029","12","0.15000000000000002"
"21-Savage/A-Lot","0.840273082256","0.99997895956","0.847943067551","0.34506431222","0.432688683271","0.0670624524355","1","0.2775"
"Akiko-Yano/%E3%83%A8%E3%83%BB%E3%83%AD%E3%83%BB%E3%82%B3%E3%83%BB%E3%83%93","","","","","","","1","0.2775"
"Monk-Higgins/Mac-Arthur-Park","","","","","","","2","0.15000000000000002"
"Elza-Laranjeira/Serenata-Do-Adeus","","","","","","","1","0.15000000000000002"
"The-Shining/Here%27s-Johnny!","","","","","","","",""
"Luke/I-Wanna-Rock","0.926730215549","0.999586820602","0.124774925411","0.10726506263","0.746703147888","1.91371015035E-7","60","0.42868240119015005"
"John-Barry/The-Black-Hole-Overture","","","","","","","1","0.15000000000000002"
"Andrew-Wartts/Can-You-Say-Yeah%3F","","","","","","","1","0.15000000000000002"
"Timothy-Carpenter/I-Want-to-Make-It","","","","","","","1","0.15000000000000002"
"AI-for-the-Culture/Turn-on-the-Lights","","","","","","","",""
"The-Notorious-B.I.G./Kick-in-the-Door","1.57784161274E-5","3.00000096379E-14","0.808817088604","0.10817848146","0.00417843461037","4.13593943449E-6","26","0.4101667857142857"
"ExpertVillage-Leaf-Group/Importing-the-JPEG-for-Digital-Embroidery-Machine-Designs","","","","","","","",""
"Kanye-West/Hell-of-a-Life","0.845703601837","0.99972563982","0.351762473583","0.120073333383","0.0430581532419","0.0240900088102","3","0.1960416666666667"
"Jadakiss/Put-Ya-Hands-Up","0.759436249733","0.96281170845","0.0880798920989","0.197340682149","0.42658418417","0.00458625936881","14","0.385875"
"Playboi-Carti/BACKR00MS","","","","","","","",""
"Lil-Jon/Who-U-Wit%3F","0.702969372272","0.999472141266","0.686659693718","0.253080636263","0.00496173184365","8.23507525638E-6","50","0.15000000000000002"
"Barry-White/I%27m-Gonna-Love-You-Just-a-Little-More-Baby","1.57784197654E-5","3.00000096379E-14","0.808817088604","0.200771212578","0.0406302064657","3.22125220009E-6","152","0.15000000000000002"
"East-of-Underground/I-Love-You","0.0517077110708","0.420390635729","0.975080311298","0.742316544056","0.991998314857","0.44893860817","2","0.15000000000000002"
"Ludwig-Van-Beethoven/Symphony-No.-9%3A-Ode-to-Joy","","","","","","","2","0.15000000000000002"
"7th-Wonder/Daisy-Lady","0.171032994986","0.999999880791","0.809065043926","0.235785275698","0.747748076916","0.817445278168","276","0.15000000000000002"
"Sly-%26-the-Family-Stone/Sing-a-Simple-Song","0.519564151764","0.152628973126","0.443643271923","0.168645977974","0.141072586179","0.132221862674","157","0.15000000000000002"
"Beside/Change-the-Beat-(Female-Version)","","","","","","","503","0.15000000000000002"
"The-Temptations/Ball-of-Confusion-(That%27s-What-the-World-Is-Today)","","","","","","","66","0.15000000000000002"
"DX-J-and-the-Bassonlians/Bassonlian-Attack","","","","","","","",""
"Detroit-Emeralds/Baby-Let-Me-Take-You-(In-My-Arms)","0.259349048138","0.5","0.59135222435","0.506881654263","0.866980373859","0.91818267107","69","0.15000000000000002"
"Beastie-Boys/Hold-It-Now,-Hit-It","0.963495731354","0.999999880791","0.023403968662","0.0609604418278","0.599668085575","2.61119783573E-8","170","0.5481477272727273"
"The-Honey-Drippers/Impeach-the-President","0.803839564323","0.916240751743","0.0600005201995","0.126007825136","0.990989387035","0.822486162186","",""
"Black-Sabbath/Iron-Man","0.321787714958","0.849153399467","0.27709659934","0.218192115426","0.00567345600575","0.811014831066","12","0.15000000000000002"
"Art-Clokey/Gumby-Theme-Song","","","","","","","",""
"The-Mojo-Men/She%27s-My-Baby","1.57784197654E-5","3.00000096379E-14","0.808817088604","0.0697627738118","0.00160250090994","0.0765085667372","",""
"Funkadelic/Get-Off-Your-Ass-and-Jam","0.613287627697","0.897997975349","0.0466647744179","0.115198582411","0.587853848934","0.240640282631","274","0.15000000000000002"
"Tony-Joe-White/Stud-Spider","0.340214788914","0.176548838615","0.833414971828","0.406287610531","0.281887888908","0.369744062424","7","0.15000000000000002"
"The-Jackson-5/The-Boogie-Man","0.625495731831","0.44819778204","0.146145135164","0.451532095671","0.812381803989","0.216337621212","15","0.2775"
