song_id,genre
Future/Like-That,Hip Hop
Kendrick-Lamar/Not-Like-Us,Alternative Hip Hop
Kendrick-Lamar/Not-Like-Us,Conscious Hip Hop
Kendrick-Lamar/Not-Like-Us,Hip Hop
Kendrick-Lamar/Not-Like-Us,Hardcore Hip Hop
Kendrick-Lamar/Tv-Off,Alternative Hip Hop
Kendrick-Lamar/Tv-Off,Conscious Hip Hop
Kendrick-Lamar/Tv-Off,Hip Hop
Kendrick-Lamar/Tv-Off,Hardcore Hip Hop
Kendrick-Lamar/Reincarnated,Alternative Hip Hop
Kendrick-Lamar/Reincarnated,Conscious Hip Hop
Kendrick-Lamar/Reincarnated,Hip Hop
Kendrick-Lamar/Reincarnated,Hardcore Hip Hop
Kendrick-Lamar/Squabble-Up,Alternative Hip Hop
Kendrick-Lamar/Squabble-Up,Conscious Hip Hop
Kendrick-Lamar/Squabble-Up,Hip Hop
Kendrick-Lamar/Squabble-Up,Hardcore Hip Hop
21-Savage/Redrum,Gangsta Rap
21-Savage/Redrum,Mumble Rap
21-Savage/Redrum,Hip Hop
21-Savage/Redrum,Pop Rap
"Tyler,-the-Creator/Balloon",Hip Hop
"Tyler,-the-Creator/Balloon",Horrorcore
"Tyler,-the-Creator/Balloon",Hardcore Hip Hop
Kendrick-Lamar/Meet-the-Grahams,Hip Hop
JPEGMAFIA/Either-on-or-Off-the-Drugs,Drumless Hip Hop
%C2%A5$/CARNIVAL,English
%C2%A5$/CARNIVAL,Plugg
%C2%A5$/CARNIVAL,Hip House
%C2%A5$/CARNIVAL,Trap
%C2%A5$/CARNIVAL,Hip Hop
%C2%A5$/CARNIVAL,Cloud Rap
%C2%A5$/CARNIVAL,R&B
%C2%A5$/CARNIVAL,Southern Hip Hop
%C2%A5$/CARNIVAL,Alternative R&B
%C2%A5$/CARNIVAL,Conscious Hip Hop
%C2%A5$/CARNIVAL,Electropop
%C2%A5$/CARNIVAL,Chipmunk Soul
%C2%A5$/CARNIVAL,Christian Hip Hop
Eazy-E/Eazy-Duz-It,G-Funk
Eazy-E/Eazy-Duz-It,Hip Hop
Eazy-E/Eazy-Duz-It,West Coast Rap
Eazy-E/Eazy-Duz-It,Rap
Eazy-E/Eazy-Duz-It,Dirty Rap
Eazy-E/Eazy-Duz-It,Gangsta Rap
Eazy-E/Eazy-Duz-It,Hardcore Rap
Rodney-O-and-Joe-Cooley/Everlasting-Bass,Hip Hop
Birdman/Pop-Bottles,Hip Hop
Birdman/Pop-Bottles,Criminal
Birdman/Pop-Bottles,Rap
Birdman/Pop-Bottles,Gangsta Rap
Monk-Higgins/I-Believe-to-My-Soul,Jazz
YG/I%27m-Good,Hip Hop
YG/I%27m-Good,Ratchet Music
YG/I%27m-Good,West Coast Hip Hop
YG/I%27m-Good,Drake
2Pac/Made-Niggas,Death By Murder
2Pac/Made-Niggas,G-Funk
2Pac/Made-Niggas,Hip Hop
2Pac/Made-Niggas,Gangsta Rap
2Pac/Made-Niggas,Conscious Hip Hop
Debbie-Deb/When-I-Hear-Music,Breaks
Debbie-Deb/When-I-Hear-Music,Dance
Debbie-Deb/When-I-Hear-Music,Hip Hop
Debbie-Deb/When-I-Hear-Music,Rap And Hip-Hop
Debbie-Deb/When-I-Hear-Music,Electro
Debbie-Deb/When-I-Hear-Music,Freestyle
Debbie-Deb/When-I-Hear-Music,Electronic
21-Savage/A-Lot,Gangsta Rap
21-Savage/A-Lot,Mumble Rap
21-Savage/A-Lot,Hip Hop
21-Savage/A-Lot,Pop Rap
Monk-Higgins/Mac-Arthur-Park,Jazz
Luke/I-Wanna-Rock,Hip Hop
Luke/I-Wanna-Rock,Hip-Hop
Luke/I-Wanna-Rock,Dirty Rap
Luke/I-Wanna-Rock,American
The-Notorious-B.I.G./Kick-in-the-Door,Stage & Screen
The-Notorious-B.I.G./Kick-in-the-Door,Hip Hop
The-Notorious-B.I.G./Kick-in-the-Door,East Coast Rap
The-Notorious-B.I.G./Kick-in-the-Door,East Coast Hip Hop
The-Notorious-B.I.G./Kick-in-the-Door,Rap
The-Notorious-B.I.G./Kick-in-the-Door,Soundtracks
The-Notorious-B.I.G./Kick-in-the-Door,Gangsta Rap
The-Notorious-B.I.G./Kick-in-the-Door,Hardcore Rap
Kanye-West/Hell-of-a-Life,Rap
Jadakiss/Put-Ya-Hands-Up,Hip Hop
Jadakiss/Put-Ya-Hands-Up,East Coast Hip Hop
Playboi-Carti/BACKR00MS,English
Playboi-Carti/BACKR00MS,Plugg
Playboi-Carti/BACKR00MS,Cloud Rap
Playboi-Carti/BACKR00MS,Hip Hop
Playboi-Carti/BACKR00MS,Pop Rap
Lil-Jon/Who-U-Wit%3F,Party Rap
Lil-Jon/Who-U-Wit%3F,Dirty South
Lil-Jon/Who-U-Wit%3F,Rap
Barry-White/I%27m-Gonna-Love-You-Just-a-Little-More-Baby,Easy Listening
Barry-White/I%27m-Gonna-Love-You-Just-a-Little-More-Baby,Disco
Ludwig-Van-Beethoven/Symphony-No.-9%3A-Ode-to-Joy,Classical
Ludwig-Van-Beethoven/Symphony-No.-9%3A-Ode-to-Joy,European
Ludwig-Van-Beethoven/Symphony-No.-9%3A-Ode-to-Joy,Composer
Ludwig-Van-Beethoven/Symphony-No.-9%3A-Ode-to-Joy,Classical Period
Sly-%26-the-Family-Stone/Sing-a-Simple-Song,R&B/Soul
The-Temptations/Ball-of-Confusion-(That%27s-What-the-World-Is-Today),Funk
The-Temptations/Ball-of-Confusion-(That%27s-What-the-World-Is-Today),Motown
The-Temptations/Ball-of-Confusion-(That%27s-What-the-World-Is-Today),Contemporary R&B
The-Temptations/Ball-of-Confusion-(That%27s-What-the-World-Is-Today),Pop
"Beastie-Boys/Hold-It-Now,-Hit-It",Alternative Hip Hop
"Beastie-Boys/Hold-It-Now,-Hit-It",Alternative Rock
"Beastie-Boys/Hold-It-Now,-Hit-It",East Coast Hip Hop
The-Honey-Drippers/Impeach-the-President,Funk
The-Honey-Drippers/Impeach-the-President,Sample
The-Honey-Drippers/Impeach-the-President,Soul
The-Honey-Drippers/Impeach-the-President,Break
Black-Sabbath/Iron-Man,Hard Rock
Black-Sabbath/Iron-Man,Doom Metal
Black-Sabbath/Iron-Man,British
Black-Sabbath/Iron-Man,Classic Rock
The-Mojo-Men/She%27s-My-Baby,Garage Rock
The-Mojo-Men/She%27s-My-Baby,Rock
The-Mojo-Men/She%27s-My-Baby,Psychedelic Rock
Funkadelic/Get-Off-Your-Ass-and-Jam,Funk
Funkadelic/Get-Off-Your-Ass-and-Jam,Soul
Funkadelic/Get-Off-Your-Ass-and-Jam,R&B
Funkadelic/Get-Off-Your-Ass-and-Jam,P.Funk
Tony-Joe-White/Stud-Spider,Blues
Tony-Joe-White/Stud-Spider,Blues Rock
Tony-Joe-White/Stud-Spider,Rock
